Annexure :  
Data set for concrete compressive strength experimentally gathered in IIT Bhubaneswar concrete laboratory used to train/test 
machine learning models 
 
Serial_No cement flyash GGBS MK TCM water water/TCM SP VMA NCA_20_DOWN NCA_10_DOWN RCA_20_Down RCA_10DOWN SAND AGE CS 
075 165 0 385 0 550 172 0.31 4.4 1.1 0 0 333 591 516 7 31.00 
076 385 0 165 0 550 155 0.28 6.6 1.38 0 0 347 616 539 14 48.00 
077 275 0 275 0 550 162 0.30 6.05 1.1 0 0 340 604 528 14 46.00 
078 165 0 385 0 550 172 0.31 4.4 1.1 0 0 333 591 516 14 43.00 
079 385 0 165 0 550 155 0.28 6.6 1.38 0 0 347 616 539 28 53.00 
080 275 0 275 0 550 162 0.30 6.05 1.1 0 0 340 604 528 28 51.00 
081 165 0 385 0 550 172 0.31 4.4 1.1 0 0 333 591 516 28 45.00 
082 385 0 165 0 550 155 0.28 6.6 1.38 0 0 347 616 539 56 60.00 
083 275 0 275 0 550 162 0.30 6.05 1.1 0 0 340 604 528 56 58.00 
084 165 0 385 0 550 172 0.31 4.4 1.1 0 0 333 591 516 56 47.00 
085 509 0 0 41 550 221 0.40 4.4 0.55 0 0 356 633 553 7 37.50 
086 468 0 0 82 550 197 0.35 6.05 0.28 0 0 355 630 550 7 34.00 
087 509 0 0 41 550 221 0.40 4.4 0.55 0 0 356 633 553 14 40.00 
088 468 0 0 82 550 197 0.35 6.05 0.28 0 0 355 630 550 14 43.00 
089 509 0 0 41 550 221 0.40 4.4 0.55 0 0 356 633 553 28 37.00 
090 468 0 0 82 550 197 0.35 6.05 0.28 0 0 355 630 550 28 58.00 
091 509 0 0 41 550 221 0.40 4.4 0.55 0 0 356 633 553 56 48.00 
092 468 0 0 82 550 197 0.35 6.05 0.28 0 0 355 630 550 56 60.00 
093 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 3 45.00 
094 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 3 33.69 
095 378 0 0 0 378 170 0.45 0.756 0 0 0 482 541 653 3 20.00 
096 309 0 0 0 309 170 0.55 0.309 0 0 0 497 559 674 3 14.81 
097 262 0 0 0 262 170 0.65 0 0 0 0 508 571 688 3 13.00 
098 227 0 0 0 227 170 0.75 0 0 0 0 516 579 699 3 9.85 
099 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 7 50.46 
100 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 7 38.60 
101 378 0 0 0 378 170 0.45 0.756 0 0 0 482 541 653 7 26.90 
102 309 0 0 0 309 170 0.55 0.309 0 0 0 497 559 674 7 20.00 
103 262 0 0 0 262 170 0.65 0 0 0 0 508 571 688 7 16.00 
104 227 0 0 0 227 170 0.75 0 0 0 0 516 579 699 7 14.60 
105 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 28 64.15 
106 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 28 49.77 
107 378 0 0 0 378 170 0.45 0.75 0 0 0 482 541 653 28 37.10 
108 309 0 0 0 309 170 0.55 0.30 0 0 0 497 559 674 28 28.07 
109 262 0 0 0 262 170 0.65 0 0 0 0 508 571 688 28 20.00 
110 227 0 0 0 227 170 0.75 0 0 0 0 516 579 699 28 18.00 
111 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 90 65.32 
112 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 90 50.85 
113 378 0 0 0 378 170 0.45 0.75 0 0 0 482 541 653 90 40.38 
114 309 0 0 0 309 170 0.55 0.30 0 0 0 497 559 674 90 31.01 
115 262 0 0 0 262 170 0.65 0 0 0 0 508 571 688 90 21.01 
116 227 0 0 0 227 170 0.75 0 0 0 0 516 579 699 90 20.00 
117 340 0 340 0 680 170 0.25 2.38 0 0 0 407 457 551 3 30.00 
118 243 0 243 0 486 170 0.35 1.215 0 0 0 452 508 612 3 19.62 
119 189 0 189 0 378 170 0.45 0.756 0 0 0 477 536 647 3 14.32 
120 155 0 155 0 310 170 0.55 0.465 0 0 0 494 554 669 3 13.50 
121 131 0 131 0 262 170 0.65 0.262 0 0 0 505 567 684 3 12.00 
122 113 0 113 0 226 170 0.75 0 0 0 0 513 576 695 3 9.00 
123 340 0 340 0 680 170 0.25 2.38 0 0 0 407 457 551 7 37.00 
124 243 0 243 0 486 170 0.35 1.215 0 0 0 452 508 612 7 27.00 
125 189 0 189 0 378 170 0.45 0.756 0 0 0 477 536 647 7 19.74 
126 155 0 155 0 310 170 0.55 0.46 0 0 0 494 554 669 7 15.00 
127 131 0 131 0 262 170 0.65 0.26 0 0 0 505 567 684 7 11.00 
128 113 0 113 0 226 170 0.75 0 0 0 0 513 576 695 7 10.00 
129 340 0 340 0 680 170 0.25 2.38 0 0 0 407 457 551 28 60.00 
130 243 0 243 0 486 170 0.35 1.21 0 0 0 452 508 612 28 43.00 
131 189 0 189 0 378 170 0.45 0.75 0 0 0 477 536 647 28 30.28 
132 155 0 155 0 310 170 0.55 0.46 0 0 0 494 554 669 28 24.43 
133 131 0 131 0 262 170 0.65 0.26 0 0 0 505 567 684 28 18.77 
134 113 0 113 0 226 170 0.75 0 0 0 0 513 576 695 28 16.34 
135 340 0 340 0 680 170 0.25 2.38 0 0 0 407 457 551 90 68.00 
136 243 0 243 0 486 170 0.35 1.21 0 0 0 452 508 612 90 55.00 
137 189 0 189 0 378 170 0.45 0.75 0 0 0 477 536 647 90 43.00 
138 155 0 155 0 310 170 0.55 0.46 0 0 0 494 554 669 90 34.00 
139 131 0 131 0 262 170 0.65 0.26 0 0 0 505 567 684 90 23.50 
140 113 0 113 0 226 170 0.75 0 0 0 0 513 576 695 90 21.30 
141 476 204 0 0 680 170 0.25 1.7 0 0 0 398 447 539 3 25.00 
142 340 146 0 0 486 170 0.35 0.97 0 0 0 446 501 604 3 16.00 
143 264 113 0 0 377 170 0.45 0.55 0 0 0 473 531 641 3 10.00 
144 216 93 0 0 309 170 0.55 0.30 0 0 0 490 550 663 3 9.00 
145 183 76 0 0 259 170 0.65 0 0 0 0 502 563 679 3 7.00 
146 159 68 0 0 227 170 0.75 0 0 0 0 510 573 691 3 6.00 
147 476 204 0 0 680 170 0.25 1.7 0 0 0 398 447 539 7 40.00 
148 340 146 0 0 486 170 0.35 0.97 0 0 0 446 501 604 7 29.00 
149 264 113 0 0 377 170 0.45 0.56 0 0 0 473 531 641 7 22.00 
150 216 93 0 0 309 170 0.55 0.30 0 0 0 490 550 663 7 18.00 
151 183 76 0 0 259 170 0.65 0 0 0 0 502 563 679 7 15.00 
152 159 68 0 0 227 170 0.75 0 0 0 0 510 573 691 7 12.00 
153 476 204 0 0 680 170 0.25 1.7 0 0 0 398 447 539 28 55.00 
154 340 146 0 0 486 170 0.35 0.72 0 0 0 446 501 604 28 41.00 
155 264 113 0 0 377 170 0.45 0.56 0 0 0 473 531 641 28 34.50 
156 216 93 0 0 309 170 0.55 0.31 0 0 0 490 550 663 28 29.01 
157 183 76 0 0 259 170 0.65 0 0 0 0 502 563 679 28 18.30 
158 159 68 0 0 227 170 0.75 0 0 0 0 510 573 691 28 11.23 
159 476 204 0 0 680 170 0.25 1.7 0 0 0 398 447 539 90 63.00 
160 340 146 0 0 486 170 0.35 0.97 0 0 0 446 501 604 90 46.00 
161 264 113 0 0 377 170 0.45 0.56 0 0 0 473 531 641 90 37.90 
162 216 93 0 0 309 170 0.55 0.30 0 0 0 490 550 663 90 31.61 
163 183 76 0 0 259 170 0.65 0 0 0 0 502 563 679 90 21.59 
164 159 68 0 0 227 170 0.75 0 0 0 0 510 573 691 90 14.78 
165 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 3 45.00 
166 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 3 32.26 
167 612 0 0 68 680 170 0.25 1.95 0 0 0 412 462 558 3 59.69 
168 578 0 0 102 680 170 0.25 3.46 0 0 0 410 461 555 3 50.43 
169 437 0 0 49 486 170 0.35 1.96 0 0 0 456 512 617 3 34.15 
170 413 0 0 73 486 170 0.35 2.06 0 0 0 455 511 616 3 36.45 
171 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 7 50.46 
172 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 7 38.60 
173 612 0 0 68 680 170 0.25 1.95 0 0 0 412 462 558 7 61.66 
174 578 0 0 102 680 170 0.25 3.46 0 0 0 410 461 555 7 53.52 
175 437 0 0 49 486 170 0.35 1.96 0 0 0 456 512 617 7 38.27 
176 413 0 0 73 486 170 0.35 2.06 0 0 0 455 511 616 7 42.95 
177 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 28 57.83 
178 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 28 46.08 
179 612 0 0 68 680 170 0.25 1.95 0 0 0 412 462 558 28 66.43 
180 578 0 0 102 680 170 0.25 3.46 0 0 0 410 461 555 28 65.03 
181 437 0 0 49 486 170 0.35 1.96 0 0 0 456 512 617 28 48.29 
182 413 0 0 73 486 170 0.35 2.06 0 0 0 455 511 616 28 52.98 
183 680 0 0 0 680 170 0.25 2.04 0 0 0 415 466 562 90 60.00 
184 480 0 0 0 480 170 0.35 1.2 0 0 0 458 514 620 90 48.32 
185 612 0 0 68 680 170 0.25 1.95 0 0 0 412 462 558 90 71.62 
186 578 0 0 102 680 170 0.25 3.46 0 0 0 410 461 555 90 68.56 
187 437 0 0 49 486 170 0.35 1.96 0 0 0 456 512 617 90 52.98 
188 413 0 0 73 486 170 0.35 2.06 0 0 0 455 511 616 90 55.16 
 
